Brand,Capacity,Model,Speed,Quantity
SAMSUNG,64GB,M321R8GA0BB0-CQKZJ,4800B,58
SAMSUNG,96GB,M321RYGA0PB0-CWMXJ,5600B,49
SAMSUNG,64GB,M321R8GA0PB0- CWMKJ,5600B,22
HYNIX,32GB,HMCG88AGBRA188N,5600B,72
MICRON,128GB,MTC40F2047S1RC64BBZ,6400B,17
HINYX,96GB,HMCGM4MHBRB498N,6400B,14
HYNIX,128GB,HMCT04AGERA197N,5600B,7
HYNIX,64GB,HMCG94MEBRA119N,4800E,14
MICRON,128GB,MTC40F2047S1RC64BB1,6400B,4
HYNIX,64GB,HMCG94MEBRA109N,4800B,10
HYNIX,64GB,HMCG94AGBRA632N,5600B,4
HYNIX,128GB,HMCT04AGERA199N,5600B,1
MICRON,128GB,MTC40F2047S1RC64BBZ,6400B,1
HYNIX,64GB,HMCG94MEBRA123N,4800B,1
SAMSUNG,64GB,M321R8GA0BB0-CQMS,4800B,1
MICRON,128GB,MTC40F2047S1RC56BBZ,5600B,1
HYNIX,128GB,HMCT04MMBRC686N,8000B,1
HYNIX,128GB,HMCT04MMBRC790N,8000B,1
HYNIX,128GB,HMCT04MMBRC688N,8000B,1
SAMSUNG,128GB,M321RAJAOMB2 - CQTGX,8000B,1
SAMSUNG,128GB,M321RAJA0MB2-CCPWC,6400B,1
SAMSUNG,128GB,M321RAJA0MB2-CCPKC,6400B,1
JBR,64GB,JBR524139SXM1-RSAA,5600B,17
MICRON,128GB,MTC40F2047S1RC80BFZ,8000B,2
SAMSUNG,128GB,M321RAJA0MB2-CQT5X,8000B,2
HYNIX,128GB,HMCT04MMBRC685N,8000B,8
HYNIX,128GB,HMCT04MMBRC692N,8000B,6
SAMSUNG,64GB,MDRR644QFBC2 -5Y300,8000B,118
